Item ID (hex), Buy Price, Sell Price, Item Name, item_type, file_name, file_desc
0050, 3840, 960, clackercart, Ftr_1x1_Floor, FtrKatakatatoy, ておしぐるま
0053, 2400, 600, rocking horse, Ftr_1x1_Floor, FtrRockinghorse, もくば
0055, 7900, 1975, train set, Ftr_2x2_Floor, FtrRailroad, てつどうもけい
0056, 4200, 1050, elephant slide, Ftr_2x1_Floor, FtrSlideelephant, ゾウのすべりだい
0058, 1920, 480, ringtoss, Ftr_1x1_Floor, FtrQuoits, わなげ
006D, 720, 180, moss ball, Ftr_1x1_Floor, FtrBonsaiKokedama, こけだま
0083, 6700, 1675, lucky cat, Ftr_1x1_Floor, FtrManekineko, まねきねこ
0084, 880, 220, succulent plant, Ftr_1x1_Floor, FtrPlantSucculents, たにくしょくぶつ
0090, 9000, 2250, manhole cover, Ftr_1x1_Floor, FtrManhole, マンホール
0092, 630, 157, cone, Ftr_1x1_Floor, FtrPylon, パイロン
00A9, 14000, 3500, ankylo skull, Kind_Fossil, FtrFossilAnkylosaurusA, アンキロサウルスのあたま
00AA, 12000, 3000, ankylo torso, Kind_Fossil, FtrFossilAnkylosaurusB, アンキロサウルスのからだ
00AB, 10000, 2500, ankylo tail, Kind_Fossil, FtrFossilAnkylosaurusC, アンキロサウルスのしっぽ
00B1, 16000, 4000, archelon skull, Kind_Fossil, FtrFossilArchelonA, アーケロンのあたま
00B2, 14000, 3500, archelon tail, Kind_Fossil, FtrFossilArchelonB, アーケロンのからだ
00B4, 18000, 4500, megacero skull, Kind_Fossil, FtrFossilBrontotheriumA, メガセロプスのあたま
00B5, 14000, 3500, megacero torso, Kind_Fossil, FtrFossilBrontotheriumB, メガセロプスのからだ
00B6, 12000, 3000, megacero tail, Kind_Fossil, FtrFossilBrontotheriumC, メガセロプスのしっぽ
00B8, 22000, 5500, dimetrodon skull, Kind_Fossil, FtrFossilDimetrodonA, ディメトロドンのあたま
00B9, 20000, 5000, dimetrodon torso, Kind_Fossil, FtrFossilDimetrodonB, ディメトロドンのからだ
00BC, 16000, 4000, iguanodon skull, Kind_Fossil, FtrFossilIguanodonA, イグアノドンのあたま
00BD, 14000, 3500, iguanodon torso, Kind_Fossil, FtrFossilIguanodonB, イグアノドンのからだ
00BE, 12000, 3000, iguanodon tail, Kind_Fossil, FtrFossilIguanodonC, イグアノドンのしっぽ
00C0, 10000, 2500, ophthalmo skull, Kind_Fossil, FtrFossilOphthalmosaurusA, オフタルモサウルスのあたま
00C1, 8000, 2000, ophthalmo torso, Kind_Fossil, FtrFossilOphthalmosaurusB, オフタルモサウルスのからだ
00C3, 12000, 3000, mammoth skull, Kind_Fossil, FtrFossilMammothA, マンモスのあたま
00C4, 10000, 2500, mammoth torso, Kind_Fossil, FtrFossilMammothB, マンモスのからだ
00C6, 16000, 4000, pachy skull, Kind_Fossil, FtrFossilPachycephalosaurusA, パキケファロのあたま
00C7, 14000, 3500, pachy tail, Kind_Fossil, FtrFossilPachycephalosaurusB, パキケファロのからだ
00CA, 14000, 3500, parasaur skull, Kind_Fossil, FtrFossilParasaurolophusA, パラサウロロフスのあたま
00CB, 12000, 3000, parasaur torso, Kind_Fossil, FtrFossilParasaurolophusB, パラサウロロフスのからだ
00CC, 10000, 2500, parasaur tail, Kind_Fossil, FtrFossilParasaurolophusC, パラサウロロフスのしっぽ
00CE, 16000, 4000, ptera body, Kind_Fossil, FtrFossilPteranodonA, プテラノドンのあたま
00CF, 18000, 4500, right ptera wing, Kind_Fossil, FtrFossilPteranodonB, プテラノドンのうよく
00D0, 18000, 4500, left ptera wing, Kind_Fossil, FtrFossilPteranodonC, プテラノドンのさよく
00D2, 12000, 3000, deinony torso, Kind_Fossil, FtrFossilDeinonychusA, ディノニクスのあたま
00D3, 10000, 2500, deinony tail, Kind_Fossil, FtrFossilDeinonychusB, ディノニクスのしっぽ
